Town,Block No,Street Name,Address,Postal Code,Flat Type,Latitude,Longitude
Bedok,544,Bedok Nth St 3,544 Bedok Nth St 3,460544,1-room,1.3332472,103.9275759
Bedok,556,Bedok Nth St 3,556 Bedok Nth St 3,460556,1-room & 2-room,1.3332472,103.9275759
Bedok,557,Bedok Nth St 3,557 Bedok Nth St 3,460557,1-room & 2-room,1.3332472,103.9275759
Tampines,204,Tampines St 21,204 Tampines St 21,520204,1-room & 2-room,1.3522054,103.9516346
Tampines,208A,Tampines Ave 2,208A Tampines Ave 2,521208,1-room & 2-room,1.3517282,103.9535338
Tampines,299B,Tampines St 22,299B Tampines St 22,522299,1-room & 2-room,1.3494519,103.9538443
Tampines,441,Tampines St 43,441 Tampines St 43,520441,1-room & 2-room,1.3603745,103.952174
Tampines,442,Tampines St 43,442 Tampines St 43,520442,1-room & 2-room,1.359551,103.9521514
Tampines,466,Tampines St 44,466 Tampines St 44,520466,1-room & 2-room,1.3595398,103.9540551
Tampines,471,Tampines St 44,471 Tampines St 44,520471,1-room & 2-room,1.3603633,103.9540778
Tampines,492E,Tampines St 45,492E Tampines St 45,525492,1-room & 2-room,1.3633352,103.9560496
Tampines,492F,Tampines St 45,492F Tampines St 45,526492,1-room & 2-room,1.3638274,103.9563895
Tampines,499C,Tampines Ave 9,499C Tampines Ave 9,523499,1-room & 2-room,1.3595021,103.9564619
Tampines,603A,Tampines Ave 9,603A Tampines Ave 9,521603,1-room & 2-room,1.3607288,103.93554
Tampines,872A,Tampines St 86,872A Tampines St 86,521872,1-room & 2-room,1.3555087,103.9308022
Tampines,872B,Tampines St 86,872B Tampines St 86,522872,1-room & 2-room,1.3552622,103.9313704
Tampines,885A,Tampines St 83,885A Tampines St 83,521885,1-room & 2-room,1.3506557,103.932768
Pasir Ris,476A,Pasir Ris Dr 6,476A Pasir Ris Dr 6,511476,1-room & 2-room,1.3750594,103.95784
