school_name,url_address,address_short,postal_code,address,Latitude,Longitude
GEYLANG METHODIST SCHOOL (SECONDARY),http://www.geylangmethodistsec.moe.edu.sg,2 GEYLANG EAST CENTRAL,389705,2 GEYLANG EAST CENTRAL Singapore 389705,1.3181272,103.8828971
GONGSHANG PRIMARY SCHOOL,http://www.gongshangpri.moe.edu.sg,1 TAMPINES STREET 42,529176,1 TAMPINES STREET 42 Singapore 529176,1.3574845,103.9487519
GREENDALE PRIMARY SCHOOL,http://www.greendalepri.moe.edu.sg,50  Edgedale Plains,828848,50  Edgedale Plains Singapore 828848,1.3962652,103.9127224
GREENDALE SECONDARY SCHOOL,http://www.greendalesec.moe.edu.sg,51  EDGEDALE PLAINS,828866,51  EDGEDALE PLAINS Singapore 828866,1.396986,103.9117179
GREENRIDGE PRIMARY SCHOOL,http://www.greenridgepri.moe.edu.sg,11  JELAPANG ROAD,677744,11  JELAPANG ROAD Singapore 677744,1.3856591,103.7679301
GREENRIDGE SECONDARY SCHOOL,http://www.greenridgesec.moe.edu.sg,32  BUKIT PANJANG RING ROAD,679938,32  BUKIT PANJANG RING ROAD Singapore 679938,1.3820239,103.7738492
GREENWOOD PRIMARY SCHOOL,http://www.greenwoodpri.moe.edu.sg,11  WOODLANDS DR 62,737942,11  WOODLANDS DR 62 Singapore 737942,1.4396782,103.8049796
GUANGYANG PRIMARY SCHOOL,http://www.guangyangpri.moe.edu.sg,6 Bishan Street 12,579806,6 Bishan Street 12 Singapore 579806,1.3459881,103.8493489
GUANGYANG SECONDARY SCHOOL,http://guangyangsec.moe.edu.sg,8 BISHAN STREET 12,579807,8 BISHAN STREET 12 Singapore 579807,1.3444398,103.8505203
HAI SING CATHOLIC SCHOOL,http://www.haisingcatholic.moe.edu.sg,9 PASIR RIS DRIVE 6,519421,9 PASIR RIS DRIVE 6 Singapore 519421,1.374513,103.954463
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51  Koon Seng Road,427072,51  Koon Seng Road Singapore 427072,1.3119421,103.9027084
HENRY PARK PRIMARY SCHOOL,http://www.henryparkpri.moe.edu.sg,1 HOLLAND GROVE ROAD,278790,1 HOLLAND GROVE ROAD Singapore 278790,1.3166725,103.7841815
HILLGROVE SECONDARY SCHOOL,http://www.hillgrovesec.moe.edu.sg,10  BUKIT BATOK STREET 52,659250,10  BUKIT BATOK STREET 52 Singapore 659250,1.35277,103.752785
HOLY INNOCENTS' HIGH SCHOOL,http://www.holyinnocentshigh.moe.edu.sg,1191 UPPER SERANGOON ROAD,534786,1191 UPPER SERANGOON ROAD Singapore 534786,1.3576474,103.8824703
HOLY INNOCENTS' PRIMARY SCHOOL,http://www.holyinnocentspri.moe.edu.sg/,5 Lorong Low Koon,536451,5 Lorong Low Koon Singapore 536451,1.3667417,103.8938277
HONG WEN SCHOOL,http://www.hongwen.moe.edu.sg,30  TOWNER ROAD,327829,30  TOWNER ROAD Singapore 327829,1.3219501,103.857695
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61  Edgedale Plains,828819,61  Edgedale Plains Singapore 828819,1.3998175,103.9131302
HOUGANG PRIMARY SCHOOL,http://www.hougangpri.moe.edu.sg/,1 HOUGANG ST 93,534238,1 HOUGANG ST 93 Singapore 534238,1.377329,103.8810968
HOUGANG SECONDARY SCHOOL,http://www.hougangsec.moe.edu.sg,2 HOUGANG STREET 93,534256,2 HOUGANG STREET 93 Singapore 534256,1.377661,103.88253
HUA YI SECONDARY SCHOOL,http://www.huayisec.moe.edu.sg,60  JURONG WEST ST 42,649371,60  JURONG WEST ST 42 Singapore 649371,1.3514502,103.7216131
HUAMIN PRIMARY SCHOOL,http://www.huaminpri.moe.edu.sg,21  YISHUN AVENUE 11,768857,21  YISHUN AVENUE 11 Singapore 768857,1.4269293,103.8442699
HWA CHONG INSTITUTION,http://www.hwachong.edu.sg,661 BUKIT TIMAH ROAD,269734,661 BUKIT TIMAH ROAD Singapore 269734,1.3254871,103.8044646
INNOVA PRIMARY SCHOOL,http://www.innovapri.moe.edu.sg/,80  Woodlands Drive 17,737888,80  Woodlands Drive 17 Singapore 737888,1.4293124,103.7906555
JIEMIN PRIMARY SCHOOL,http://www.jieminpri.moe.edu.sg,2 YISHUN STREET 71,768515,2 YISHUN STREET 71 Singapore 768515,1.4276007,103.830502
JING SHAN PRIMARY SCHOOL,http://www.jingshanpri.moe.edu.sg,5 ANG MO KIO ST 52,569228,5 ANG MO KIO ST 52 Singapore 569228,1.3722641,103.8517885
JUNYUAN PRIMARY SCHOOL,https://junyuanpri.moe.edu.sg,2 Tampines Street 91,528906,2 Tampines Street 91 Singapore 528906,1.3478749,103.939687
JUNYUAN SECONDARY SCHOOL,http://www.junyuansec.moe.edu.sg,11  TAMPINES STREET 84,528933,11  TAMPINES STREET 84 Singapore 528933,1.3533278,103.9335232
